Case Number,General Location,lon,lat,Nature,Date/Time Occurred,Date/Time Reported,General Location ,,
8 Disciplinary Referral,Tarkington Hall,40.4314200582128,-86.91988992827,Liquor Law Violation,8/28/2022 0:15,8/28/2022 3:03,Tarkington Hall,,
6 Disciplinary Referral,Wiley Hall,40.4303800316669,-86.9215849167302,Liquor Law Violation,8/28/2022 1:00,8/28/2022 11:30,Wiley Hall,,
2022PU01025,Winifred Parker Hall,40.430795,-86.9075399999999,Theft-Bike,8/31/2022 3:38,8/31/2022 11:26,Winifred Parker Hall,,
2022PU01026,Hilltop Apartments,40.4579423937591,-86.9409304820246,Theft-Bike,8/31/2022 13:09,8/31/2022 13:36,Hilltop Apartments,,
2022PU01030,Young Hall,40.4227378266659,-86.9104445291666,Theft,3/3/2020 11:00,8/31/2022 16:36,Young Hall,,
2022PU01031,Physics Building,40.4300859945035,-86.9136449913092,Theft-Bike,8/30/2022 4:30,8/31/2022 17:57,Physics Building,,
2022PU01033,McCutcheon Hall,40.42428465523,-86.9283048956498,Blackmail,8/31/2022 18:59,8/31/2022 19:33,McCutcheon Hall,,
CAD#2022113500,Earhart Residence Hall,40.4265400513198,-86.9257599007924,Drug Law Violation,8/31/2022 0:09,8/31/2022 0:09,Earhart Residence Hall,,
2022PU01017,Meredith South,40.425675971,-86.9166100089999,Theft-Bike,8/30/2022 10:00,8/30/2022 10:15,Meredith South,,
2022PU01019,Tarkington Hall,40.4314200582128,-86.91988992827,Theft-Bike,8/26/2022 14:00,8/30/2022 16:45,Tarkington Hall,,
2022PU01020,Wiley Hall,40.4303800316669,-86.9215849167302,Theft-Bike,8/29/2022 18:00,8/30/2022 16:56,Wiley Hall,,
2022PU01021,Ford Dining Court,40.4321800034643,-86.9195999982392,Criminal Mischief,8/30/2022 17:09,8/30/2022 17:26,Ford Dining Court,,
2022PU01022,Heavilon Hall,40.430795,-86.9075399999999,Theft-EMPV,8/30/2022 17:35,8/30/2022 18:29,Heavilon Hall,,
CAD# 2022-112876,Earhart Hall,40.4265400513198,-86.9257599007924,Drug Law Violation,8/29/2022 22:07,8/29/2022 22:07,Earhart Hall,,
CAD# 2022-112815,Wiley Hall,40.4303800316669,-86.9215849167302,Theft,8/29/2022 20:03,8/29/2022 20:03,Wiley Hall,,
2022PU01014,Wiley Hall,40.4303800316669,-86.9215849167302,Theft-Bike,8/26/2022 16:00,8/29/2022 10:05,Wiley Hall,,
2022PU01001,Winifred Parker Hall,40.4278359983246,40.4278359983246,Theft-Bike,8/24/2022 17:30,8/26/2022 12:55,Winifred Parker Hall,,
2022PU01002,University Street Garage,40.426334,-86.916787,Hit & Run,8/26/2022 17:06,8/26/2022 17:19,University Street Garage,,
2022PU01004,Wiley Hall,40.4303800316669,-86.9215849167302,Theft-Bike,8/25/2022 17:50,8/27/2022 10:15,Wiley Hall,,
2022PU01005,Winifred Parker Hall,40.4278359983246,-86.92085602643,Fraud,8/26/2022 14:28,8/27/2022 14:51,Winifred Parker Hall,,
2022PU01006,Earhart Hall,40.4265400513198,-86.9257599007924,-86.92085602643,Theft-Bike,8/27/2022 16:28,8/27/2022 17:20,Earhart Hall,
2022PU01008,Winifred Parker Hall,,40.4278359983246,Drug Law Violation,8/27/2022 22:35,8/27/2022 23:02,Winifred Parker Hall,,
2022PU01009,Owen Hall,40.4329750269805,-86.92066990627,Minor in Consumption,8/28/2022 0:27,8/28/2022 0:53,Owen Hall,,
2022PU01010,N Martin Jischke Dr/ W Stadium Ave,0,0,Minor in Consumption,8/28/2022 0:59,8/28/2022 1:24,N Martin Jischke Dr/ W Stadium Ave,,
2022PU01011,McCutcheon Hall,40.42428465523,-86.9283048956498,Theft-Bike,8/26/2022 15:34,8/28/2022 21:02,McCutcheon Hall,,
2022PU01012,Purdue West,40.4279409816618,-86.9148700064583,Theft,8/28/2022 22:13,8/28/2022 23:29,Purdue West,,
2022PU01013,Wiley Hall,40.4303800316669,-86.9215849167302,Blackmail,8/28/2022 23:00,8/28/2022 23:44,Wiley Hall,,
CAD# 2022-110922,Earhart Hall,40.4265400513198,-86.9257599007924,Drug Law Violation,8/26/2022 0:59,8/26/2022 0:59,Earhart Hall,,
CAD# 110745,CoRec,40.43119,-86.9138099999999,Fraud,8/25/2022 17:45,8/25/2022 17:45,CoRec,,
CAD# 2022-111205,500 Blk W State Street,40.424145324249,-86.9131924393535,Reckless Driver,8/26/2022 13:49,8/26/2022 13:49,500 Blk W State Street,,
CAD# 2022-111429,1st Street/ N Russell Street,40.4315,-86.919399,Reckless Driver,8/26/2022 22:06,8/26/2022 22:06,1st Street/ N Russell Street,,
CSA,Winifred Parker Hall,40.4278359983246,-86.92085602643,Stalking,Early August 2022,8/22/2022 21:30,Winifred Parker Hall,,
2022PU00977,Owen Hall,40.4329750269805,-86.92066990627,Harassment,8/23/2022 15:01,8/23/2022 15:43,Owen Hall,,
2022PU00994,Earhart Hall,40.4265400513198,-86.9257599007924,Theft-Bike,8/14/2022 13:00,8/25/2022 13:20,Earhart Hall,,
2022PU00995,Armory,40.430795,-86.9075399999999,Theft-Bike,8/25/2022 11:30,8/25/2022 14:13,Armory,,
2022PU00996,Owen Hall,40.4329750269805,-86.92066990627,Theft-Bike,6/28/2022 15:30,8/25/2022 14:56,Owen Hall,,
2022PU00997,Purdue Menorial Union,40.4244300538787,-86.9103399230681,Theft,8/25/2022 17:30,8/25/2022 19:44,Purdue Menorial Union,,
2022PU00983,Cary Quad,40.4329305135742,-86.9179799335975,Theft-Bike,8/19/2022 21:00,8/21/2022 14:25,Cary Quad,,
2022PU00984,Sigma Kappa,40.4286327091903,-86.9192684727284,-86.9185029031754,Fraud,8/8/2022 10:00,8/24/2022 10:44,Sigma Kappa,
2022PU00987,Rawls Hall,,40.4489592187266,-86.9185029031754,Public Indecency/Trespass,8/24/2022 12:20,8/24/2022 13:15,Rawls Hall,
2022PU00988,Rawls Hall,,40.4489592187266,Trespass,8/24/2022 16:18,8/24/2022 17:08,Rawls Hall,,
2022PU00989,Wiley Hall,40.4303800316669,-86.9215849167302,Theft,8/24/2022 17:54,8/24/2022 18:07,Wiley Hall,,
2022PU00992,Earhart Hall,40.4265400513198,-86.9257599007924,-86.9264599610363,Blackmail,8/24/2022 18:00,8/24/2022 19:31,Earhart Hall,
2022PU00993,Harrison Hall,,40.4242956807326,Theft-Bike,8/20/2022 13:00,8/24/2022 20:00,Harrison Hall,,
CAD# 2022-109842,500 Blk Purdue Mall,40.4290168531198,-86.9135798160571,Drug Law Violation,8/23/2022 22:37,8/23/2022 22:37,500 Blk Purdue Mall,,
2022PU00968,Windsor Hall,40.426270028309,-86.9202899126896,Harassment,1/5/2022 15:35,8/22/2022 17:00,Windsor Hall,,
2022PU00973,McCutcheon Garage,40.42428465523,-86.9283048956498,Hit & Run,8/14/2022 15:22,8/23/2022 6:29,McCutcheon Garage,,
2022PU00974,Honors College North,40.43119,-86.9138099999999,Blackmail,8/23/2022 12:32,8/23/2022 13:01,Honors College North,,
2022PU00975,Grant Street Garage,40.4196303958798,-86.9102768464447,Hit & Run,8/17/2022 9:00,8/23/2022 14:49,Grant Street Garage,,
2022PU00979,Honors College South,40.43119,-86.9138099999999,Theft-Bike,8/23/2022 16:24,8/23/2022 16:39,Honors College South,,
2022PU00980,Cary Quadrangle,40.4329305135742,-86.9179799335975,-86.9264599610363,Theft-EMPV,8/23/2022 21:19,8/23/2022 21:37,Cary Quadrangle,
2022PU00981,Harrison Hall,,40.4242956807326,Blackmail,8/23/2022 23:30,8/24/2022 0:06,Harrison Hall,,
2022PU00982,Wiley Hall,40.4303800316669,-86.9215849167302,,-86.9194687566661,Blackmail,8/24/2022 1:03,8/24/2022 2:21,Wiley Hall
CSA,Meredith South,,40.4251698336758,Theft,8/20/2022 15:00,8/22/2022 21:25,Meredith South,,
2022PU00965,McCutcheon Hall,40.42428465523,-86.9283048956498,Theft-Bike,8/22/2022 0:00,8/22/2022 10:46,McCutcheon Hall,,
2022PU00967,PUPD,0,0,Threats,8/22/2022 9:00,8/22/2022 13:36,PUPD,,
2022PU00970,Owen Hall,40.4329750269805,-86.92066990627,Fraud,8/22/2022 20:29,8/22/2022 20:43,Owen Hall,,
2022PU00971,Physics Building,40.4300859945035,-86.9136449913092,Theft-Bike,8/22/2022 14:30,8/22/2022 21:08,Physics Building,,
CAD# 2022-108806,Beering Dr/ W Stadium Ave,0,0,Reckless Driver,8/21/2022 23:16,8/21/2022 23:16,Beering Dr/ W Stadium Ave,,
2022PU00933,Purdue Memorial Union,40.4244300538787,-86.9103399230681,Theft,8/14/2022 19:08,8/19/2022 11:21,Purdue Memorial Union,,
2022PU00934,Krach Leadership Center,40.405306,-86.8939959999999,Criminal Mischief,8/19/2022 0:00,8/19/2022 13:09,Krach Leadership Center,,
2022PU00936,Wiley Hall,40.4303800316669,-86.9215849167302,Criminal Mischief,8/19/2022 0:45,8/19/2022 17:03,Wiley Hall,,
2022PU00938,Gates Rd/ W State Street,0,0,Fondling,8/19/2022 17:29,8/19/2022 18:51,Gates Rd/ W State Street,,
2022PU00942,Purdue Memorial Union,40.4244300538787,-86.9103399230681,Theft,8/15/2022 21:38,8/20/2022 14:05,Purdue Memorial Union,,
2022PU00943,Intramural Field,0,0,Theft,8/20/2022 14:26,8/20/2022 14:33,Intramural Field,,
2022PU00944,Wiley Hall,40.4303800316669,-86.9215849167302,Theft-Bike,5/1/2022 12:00,8/20/2022 16:44,Wiley Hall,,
2022PU00946,Tarkington Hall,-86.91988992827,-86.91988992827,-86.9214306174496,Blackmail,8/20/2022 18:20,8/20/2022 18:29,Tarkington Hall,
2022PU00948,Aspire,,40.4243364328859,Drug Law Violation,8/20/2022 22:55,8/20/2022 23:32,Aspire,,
2022PU00949,McCutcheon Garage,40.42428465523,-86.9283048956498,Minor Consumption/ Drug Law Violation,8/20/2022 22:56,8/20/2022 23:37,McCutcheon Garage,,
2022PU00950,Hawkins Graduate House,40.43119,-86.9138099999999,Minor Consumption,8/20/2022 23:22,8/20/2022 23:42,Hawkins Graduate House,,
2022PU00953,Windsor Hall,40.426270028309,-86.9202899126896,Minor Consumption,8/21/2022 1:00,8/21/2022 1:28,Windsor Hall,,
2022PU00954,US HWY 231 S/W State Street,,,Operating While Intoxicated,8/21/2022 2:38,8/21/2022 3:03,US HWY 231 S/W State Street,,
2022PU00955,W State Street/N University Street,40.426334,-86.916787,Operating While Intoxicated/ Minor Consumption,8/21/2022 3:21,8/21/2022 3:21,W State Street/N University Street,,
2022PU00956,Life Science Animal Building,,,Criminal Mischief,8/19/2022 20:00,8/21/2022 9:30,Life Science Animal Building,,
2022PU00958,Cary Quadrangle,40.4329305135742,-86.9179799335975,Theft-Bike,8/20/2022 7:25,8/21/2022 14:50,Cary Quadrangle,,
2022PU00959,Hillenbrand Hall,40.4265400513198,-86.9257599007924,Theft-Bike,8/19/2022 11:00,8/21/2022 15:47,Hillenbrand Hall,,
2022PU00960,700 Blk W Stadium Ave,0,0,Driving While Suspended,8/21/2022 19:11,8/21/2022 19:52,700 Blk W Stadium Ave,,
CAD# 2022-107103,PUPD,0,0,Harassment,8/18/2022 11:27,8/18/2022 11:27,PUPD,,
CSA,Honors College,40.43119,-86.9138099999999,Larceny,8/20/2022 18:09,8/20/2022 19:18,Honors College,,
2022PU00925,Honors College North,40.43119,-86.9138099999999,Harassment,8/18/2022 15:06,8/18/2022 15:26,Honors College North,,
2022PU00926,Honors College North,40.43119,-86.9138099999999,Fraud,8/18/2022 15:22,8/18/2022 15:35,Honors College North,,
2022PU00930,800 Blk David Ross Rd,40.4346213197368,-86.9252384146403,Hit & Run,8/18/2022 21:03,8/18/2022 21:19,800 Blk David Ross Rd,,
2022PU00931,3rd Street/N Martin Jischke Dr,40.428519,-86.922616,Minor Consumption,8/18/2022 23:00,8/19/2022 3:09,3rd Street/N Martin Jischke Dr,,
2022PU00932,Mollenkopf Athletic Center,40.425675971,-86.9166100089999,Minor Consumption,8/19/2022 4:05,8/19/2022 4:44,Mollenkopf Athletic Center,,
2022PU00918,1st Street/N University Street,40.426334,-86.916787,Hit & Run,8/17/2022 10:50,8/17/2022 12:20,1st Street/N University Street,,
2022PU00919,Winifred Parker Hall,40.4278359983246,-86.92085602643,Theft-Bike,8/15/2022 14:30,8/17/2022 14:48,Winifred Parker Hall,,
2022PU00923,Wilmeth Active Learning Center,40.4259350455486,-86.9136946159228,,-86.9214306174497,Trespass,8/17/2022 22:51,8/17/2022 23:10,Wilmeth Active Learning Center
CAD# 2022-106173,Aspire,,40.4243364328859,Drug Law Violation,8/16/2022 15:38,8/16/2022 15:38,Aspire,,
CAD# 2022-106391,Purdue West,0,0,Drug Law Violation,8/17/2022 1:17,8/17/2022 1:17,Purdue West,,
2022PU00914,CoRec,40.43119,-86.9138099999999,Theft,8/16/2022 14:45,8/16/2022 17:23,CoRec,,
2022PU00915,Aspire,40.4243364328859,-86.9214306174496,Drug Law Violation,8/16/2022 23:21,8/16/2022 23:36,Aspire,,
2022PU00911,Ford Dining Court,40.4321800034643,-86.9195999982392,Theft,8/15/2022 19:37,8/15/2022 20:18,Ford Dining Court,,
CAD# 2022-105177,McCutcheon Garage,40.42428465523,-86.9283048956498,Hit & Run,8/14/2022 15:22,8/14/2022 15:22,McCutcheon Garage,,
2022PU00906,Shreve Hall,40.4265400513198,-86.9257599007924,Drug Law Violation,8/12/2022 16:47,8/12/2022 17:06,Shreve Hall,,
2022PU00908,Windsor Halls,40.426270028309,-86.9202899126896,Harassment,8/14/2022 15:22,8/14/2022 15:58,Windsor Halls,,
CAD# 2022-104268,S River Rd/ US HWY 231,0,0,Reckless Driver,8/12/2022 22:48,8/12/2022 22:48,S River Rd/ US HWY 231,,
2022PU00893,Wetherill Lab,40.4265220092733,-86.9125850158336,Public Indecency,8/10/2022 20:21,8/10/2022 20:21,Wetherill Lab,,
2022PU00894,Northwestern Parking Garage,0,0,Criminal Mischief,8/11/2022 7:40,8/11/2022 7:53,Northwestern Parking Garage,,
2022PU00895,N Russell Street/ W Stadium Ave,40.4315,-86.919399,Driving While Suspended,8/11/2022 14:40,8/11/2022 15:12,N Russell Street/ W Stadium Ave,,
2022PU00900,Honors College North,40.43119,-86.9138099999999,Drug Law Violation,8/11/2022 20:33,8/11/2022 20:08,Honors College North,,
